Category,Recommendation Type,Item,Link
Jeans – Dark Grey,"Different Color, Same Type",Black Slim Fit Jeans,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODAzMzIwMjg5MDQ2MjE0OjE3NDI5MDc1MzM6c3BfYXRmOjMwMDQ3NjM3MDY0MTczMjo6MDo6&url=%2FSymbol-Premium-Airlite-Stretch-SP-S24-M-DNM-102_Black_34%2Fdp%2FB0CSSQP6BK%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.cXxvGk4b9HL62xL7AwO0U9A7jrIt8D04SToCLHioTfOc-toS8EHpHzAy3RDQuxdQuqu6y8AgE63AvqbULPzbqQ09y6fv11TvJtQFVUgJdrgTEnh_BZ-VmGTe91d0Fw7g7db0Hrt5zfIUllk1r2Td5AKN-GSScMvlHBLm-p3F_owGOi7McPZvquT0-4Oa0NBIpBP9idNjoESl1JN9QRqGhLihsUerIuJIAfcnLNCdocfmcDmdROQiWQVa-fl9sX-rBQgc01cs9HXTgNJLYIYxz8uH9GGSaauNgGGQEaAmv5w.ji6aLz9sFetR2f0r-T_RJToY5HjcFw1fF_cmwqpwPrA%26dib_tag%3Dse%26keywords%3Dblack%2Bslim%2Bfit%2Bjeans%26qid%3D1742907533%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Jeans – Dark Grey,"Different Color, Different Type",Blue Straight Fit Jeans,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTUxNDI2NDUyMzgwMTc1OjE3NDI5MDc2OTQ6c3BfYXRmOjMwMDUwODY4NTE3MzYzMjo6MDo6&url=%2FSPARKY-Straight-Denim-Size-32-DNA2458%2Fdp%2FB0DZP7QNKR%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.elomU2GP2nCaN1S_c_gxCVHnyhz6u9iKEqN8ETqqCPEJu4dZxxjG4av7ixyJ-dj9BppmlC1C9dmXqVvw_P_fHO-hIFNi25lg5RtkBhKBvUHPloOAaMsamvxC4vcuijZelqUcwUrLL-FBucdOvrwWE_F3jmUhlACZf4sJ4G0MpDTEi20n6aWJWW4Xr1M-_RVrTTb1VzGYzg4V1AVIYvjWBhUJU6yGaL9yq6-mNF377bUINETQVm06Wb5TLH_rfye3soF6-vdb2J5RCxtBkAGl7dlmV4cHhzBgyr4n0hWhMz0.3Y8TC8C8hY8rMztp9olGF4SX8PJ14-jDAvozqCCUE0U%26dib_tag%3Dse%26keywords%3Dblue%2Bstraight%2Bfit%2Bjeans%26qid%3D1742907694%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Formal Shirt – Sky Blue,"Same Color, Same Type",Sky Blue Slim Fit Formal Shirt,https://www.amazon.in/Dennis-Lingo-Casual-C301_SkyBlue_L_Sky-Blue_L/dp/B079S5GVRK/ref=sr_1_5?dib=eyJ2IjoiMSJ9.q5jmpxjav3LMr-XcX6C3LV-BdXLeT1HRo7oZJFowHpm624ghNDqVE9YbJTi4eihWlvZJvuTF_WjEDCEMjxSoI2S7upQA9J80-avndpPFVTPOmn9tT0awLrUqCJjeM7sy3gW3IeVjDpI_SR0XvKOwpinZxnelly1mR1P8fYykmSVadJx-gWAj1cHAMQy6EGTMnuMaumUPptbb8SfXQl_hANJooiwye9ZR3Aip8bmyOkqtM7Apk92MKBF3PPjeF-Y2C6foZzLtX_4yj-OWfZ3T_7Y40JNhF5Wu6RyH5GIiSNxfo7XBBTYmVrvABk3Nd-wpLX8_lp-sFEFf6IgpqeGx-3708yxKoBe9hF72TYPA-ldt0s3f0PoJ5-RfzR3ZPmD4Uv19RXwTOKIE_mb-uabg1uow5-J-O9MP1oWGcvNhNRe0nsZMeP4sIaZjyeq7BAAs.8Y2vpTghGHl0BEwOtR2wsdYfKOemfDGEdVqrzVC8LFk&dib_tag=se&keywords=sky+blue+slim+fit+formal+shirt&qid=1742907704&sr=8-5
Formal Shirt – Sky Blue,"Same Color, Different Type",Sky Blue Regular Fit Formal Shirt,https://www.amazon.in/Impression-Fab-Plaid-Regular-Formal_Vol1_Sky/dp/B0DJJK2TS4/ref=sr_1_10?dib=eyJ2IjoiMSJ9.5rE6i0bCvNwA-9zm9RiN6aT0vesg5biHsJ78YSXXSjlW3vANPX7F_PXKCs2Q1Fr5AHJ5y9I0j18k_eFFf9eEMUXB3zW0jtXs2e4iH33nHlBAhvW_YZJhy-fRc3MhoHpa2Cc4Nsd8kJ3Q5xZ50UAIm3nhWT3ycyaFT4ZpJhF9IlzhcDmzpk8UNnl1jnGhjxKuFXbhDr8CuyEbruRo0y2Vpq2NC1m-1J2cnyxO7knq61dWveHVcwXcr2MBssLFxEYCeX95zuUhzWesrAHFH2X_ug9XxBE8QEiEeQo4B46Fn67FZo3ZANZlY1_JqJpjGScS4M2FUimXkxMv_jZAtuopDWDqKGZ1FgPjBbzjKXXGKwYFnUAt8iCy5MwogIDFIgFOyO0YqJULtCfQfgRPL27JpcIE2pKahZNIsukOcFknhZpWCGa5SYxtn52kmxGkVD-g.Oc90A6_acChBZf6DQztghX2ix2CzsS1AzTWtkNozvH4&dib_tag=se&keywords=sky+blue+regular+fit+formal+shirt&qid=1742907716&sr=8-10
Formal Shirt – Sky Blue,"Different Color, Same Type",White Slim Fit Formal Shirt,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDgyMTc5Mzk5ODY3NDQzOjE3NDI5MDc3MzQ6c3BfYXRmOjMwMDI2MDM4NTA5NTIzMjo6MDo6&url=%2FSymbol-Premium-Non-Iron-Cotton-Formal%2Fdp%2FB0C3HPFDZ9%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.bvtDCNnIrPLQpzdwulwboDdxH5FtJ4y4U_06x0-m5ubFLrlx6N--ZleD3lW-QP1Xr_Digbd44bVO_nl4C01ZlroNU68zZebFkg-IzlmrK0r-VhWHEiZldOzmWqNT5yy4Ptgo7wrlW2wyTE-JGwBAj6ezwu3qSHZ8fol28R-WBjeV1MdUWlponcPRUKyl0nsKQt817scqYGZZ-jmQStZ0xIAgZ9pDWnHaMbUsMsGehfXfcWONWSOIfOj448kw2QayJvp-AjrD9gxHBpC32b-tKNDs5j32dVH9Jm9et3JEtHI.OoDGcpsaYO6xrDx-e_bo5mHJeDijW7SIu9ggrzd1AkY%26dib_tag%3Dse%26keywords%3Dwhite%2Bslim%2Bfit%2Bformal%2Bshirt%26qid%3D1742907733%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Formal Shirt – Sky Blue,"Different Color, Different Type",White Regular Fit Formal Shirt,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MDE5MTUxNzcyMTY0MzM5OjE3NDI5MDc3NzU6c3BfYXRmOjMwMDQyNzczNTE5NDEzMjo6MDo6&url=%2FSymbol-Premium-Non-Iron-Cotton-Formal%2Fdp%2FB0C3HPFDZ9%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.sHxSijZBHoSXX88yqbHC0EcTWjgoVsN0ezPrRTPUHz1ajPZXHre7LbMJ9pMKjYJoOhXeOxoKls3HTEOajgH-zVlbrXjpah7GREp4DCh5W8rFqp26BvtP3xu3F6VhfHwME5gaSfinb7NtrD56gUHGISa1vy-rTpg78N10H3eCxhGepFKrzaSGN16Mi1BBRpW7wVUkbCKHMaNVPBcXeJZ2e49hfYYVkz9a3Hc_53yycXtaKodG4SSvuhqYrupJz1chOchYhkAQsoJpBtL-AToDZmAnwUKWlsrhhBlJHNr9teY.g3dOiEQLcMkMgolBJSeSYm9PCJT9qF3BIGvIWfamA1Q%26dib_tag%3Dse%26keywords%3Dwhite%2Bregular%2Bfit%2Bformal%2Bshirt%26qid%3D1742907775%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Sweater – Maroon,"Same Color, Same Type",Maroon V-Neck Sweater,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDIzMDU2Njk4NTM1NTUzOjE3NDI5MDc3NTY6c3BfYXRmOjMwMDQ3ODU2MjQ3MjYzMjo6MDo6&url=%2FMonte-Carlo-Maroon-Pullover-1240566VN-2344-46%2Fdp%2FB0DLGRVGSC%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.QvppUukkCxlDdyLcMoc26SpGLfLkK1luzNTlEDrtq4hgID7AMGnLmq6xLNqP4-8rDihyi6IT3WL00jilHp4Sotlqcdri1SuC_AlpdI47S1SBWNLknLZPhJPe3FQLzZg8hWd48cnUbGA67ZIXUK-0bSEu7vXRU-DGxBP7eNOB9u3yJARaijLEHQB4T9yGQ4lUWTZ7aGkHj5YODW7xXppp6ChFEa8sH4voddFwJ_JPdC4H25mHMoEvQV2NLgfDr_oUbMV7CfEHNLcbbgWRqtdY9LdbvgkOGNOKC_WzL0bGeDo.MW0__agyyviqzviqHNoVu-vjpaQnLSStGhgXsREC90Y%26dib_tag%3Dse%26keywords%3Dmaroon%2Bv-neck%2Bsweater%26qid%3D1742907756%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Sweater – Maroon,"Same Color, Different Type",Maroon Crew Neck Sweater,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMjAzNDY2NzIwNDczNDE2OjE3NDI5MDc3ODk6c3BfYXRmOjIwMDgyNzk4MTg0ODk4OjowOjo&url=%2FGODFREY-Acrylic-Sweater-GFA70396386P_Burgundy_3XL_Maroon-Burgundy_3XL%2Fdp%2FB0B526GL1S%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.rATTUWq-RxO0KpiIz3IHDB_yzzfikfSQ-1DQnBesEinm3fCidbkeDvkDi22QTx8Iq7ErG7ZNStO-GzwzWSaM1hNLa5IGzUtuOUSEQDPRJ1OpWVTwGVTWSwIfM0EuDnNOnQMtaHH08mdGVCIKOdPU3y1P4m2OFCypsABZtxW0JdBliXp8z3dfMYhZWn4cvE93bgAw8to2NeyWo-X40Pt8drJCVUPQClQ3OW39w3uI-EZb4BQBed_o22DbrjMCjHA5A9csORCgQQDRlQU2B52iiwIpkO7QrgpmflNxpHTOnto.bzB7f_mrq_DbOvaWxwa0YGA017a_EMW5lgOmgTOONg0%26dib_tag%3Dse%26keywords%3Dmaroon%2Bcrew%2Bneck%2Bsweater%26qid%3D1742907789%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Sweater – Maroon,"Different Color, Same Type",Navy Blue V-Neck Sweater,https://www.amazon.in/MANRA-Pullower-Sweater-Pullover-Blue_Free/dp/B0BCQZHT65/ref=sr_1_5?dib=eyJ2IjoiMSJ9.be3xFYxHKqhbnvwA0KEHmEUh1Fv2Co5CimrmQYzLgpuiB6i6mvDkttG307rA5_v9ITlpSNC4OGJlqnZHV2Q-NUZIP8LnB4aAn1p0bxFq18VDMSsO7zi2d-jhHN_Ze-g_vfZNL0MZRpuCHSz6xW1xBaPNRqwYly4XrAckmBNbhX9AET6mwTf9jAC7BNfSrIc79xQpIzkCxstmoHOBA-X9CrE0ykC9_fE_VH3jKZc5z17taH0wn1CoKEAjfhXmHdBPxH7GXI5wOz_f3utUpH_bCUh8l65znxYcOEV8-h-jMXDToUqiEjAaAkw1edtWelRyBFqubaiRYANO3e8cHBG0c4baHpeyXgIq-mTCaQ3aRdQLEzFr84ZXgPuZu7xsr3_OzzWLru6qyC1Fm0REmVsy-tUjunc5tdwoChxAeEwMpI2V3FYPg8scUSgSuL2MNmgv.FzmS0vr6VsVc_ElTtn_r9tOn5s28HHOZ41toCGms7Gk&dib_tag=se&keywords=navy+blue+v-neck+sweater&qid=1742907805&sr=8-5
Sweater – Maroon,"Different Color, Different Type",Navy Blue Crew Neck Sweater,https://www.amazon.in/s?k=navy+blue+crew+neck+sweater
Jacket – Mustard Yellow,"Same Color, Same Type",Mustard Yellow Bomber Jacket,https://www.amazon.in/s?k=mustard+yellow+bomber+jacket
Jacket – Mustard Yellow,"Same Color, Different Type",Mustard Yellow Leather Jacket,https://www.amazon.in/s?k=mustard+yellow+leather+jacket
Jacket – Mustard Yellow,"Different Color, Same Type",Black Bomber Jacket,https://www.amazon.in/s?k=black+bomber+jacket
Jacket – Mustard Yellow,"Different Color, Different Type",Black Leather Jacket,https://www.amazon.in/s?k=black+leather+jacket
Shorts – Beige,"Same Color, Same Type",Beige Cargo Shorts,https://www.amazon.in/s?k=beige+cargo+shorts
Shorts – Beige,"Same Color, Different Type",Beige Chino Shorts,https://www.amazon.in/s?k=beige+chino+shorts
Shorts – Beige,"Different Color, Same Type",Khaki Cargo Shorts,https://www.amazon.in/s?k=khaki+cargo+shorts
Shorts – Beige,"Different Color, Different Type",Khaki Chino Shorts,https://www.amazon.in/s?k=khaki+chino+shorts
Kurta – White,"Same Color, Same Type",White Cotton Kurta,https://www.amazon.in/s?k=white+cotton+kurta
Kurta – White,"Same Color, Different Type",White Linen Kurta,https://www.amazon.in/s?k=white+linen+kurta
Kurta – White,"Different Color, Same Type",Blue Cotton Kurta,https://www.amazon.in/s?k=blue+cotton+kurta
Kurta – White,"Different Color, Different Type",Blue Linen Kurta,https://www.amazon.in/s?k=blue+linen+kurta
Tracksuit – Black,"Same Color, Same Type",Black Adidas Tracksuit,https://www.amazon.in/s?k=black+adidas+tracksuit
Tracksuit – Black,"Same Color, Different Type",Black Nike Tracksuit,https://www.amazon.in/s?k=black+nike+tracksuit
Tracksuit – Black,"Different Color, Same Type",Grey Adidas Tracksuit,https://www.amazon.in/s?k=grey+adidas+tracksuit
Tracksuit – Black,"Different Color, Different Type",Grey Nike Tracksuit,https://www.amazon.in/s?k=grey+nike+tracksuit
Blazer – Burgundy,"Same Color, Same Type",Burgundy Velvet Blazer,https://www.amazon.in/s?k=burgundy+velvet+blazer
Blazer – Burgundy,"Same Color, Different Type",Burgundy Formal Blazer,https://www.amazon.in/s?k=burgundy+formal+blazer
Blazer – Burgundy,"Different Color, Same Type",Navy Blue Velvet Blazer,https://www.amazon.in/s?k=navy+blue+velvet+blazer
Blazer – Burgundy,"Different Color, Different Type",Navy Blue Formal Blazer,https://www.amazon.in/s?k=navy+blue+formal+blazer
